author,title,description,url,source,image,category,language,country,published_at
Ricardo Bonfim,"Ibovespa cai com correção das bolsas internacionais, aumento do risco fiscal e atenção a vacinas; dólar sobe a R$ 5,40","Mercado engata quarto dia consecutivo de perdas diante de informações que colocam em xeque o teto de gastos
The post Ibovespa cai com correção das bolsas internacionais, aumento do risco fiscal e atenção a vacinas; dólar sobe a R$ 5,40 appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-cai-com-correcao-das-bolsas-internacionais-aumento-do-risco-fiscal-e-atencao-a-vacinas-dolar-sobe-a-r-540/,InfoMoney,,business,pt,br,2021-01-22T13:16:18+00:00
Ricardo Bonfim,"Ibovespa Futuro sobe após confirmação de Biden como presidente dos EUA no Congresso; dólar avança a R$ 5,34","Pré-market aponta para leves ganhos do índice futuro da Bolsa brasileira, após baixa do índice à vista na véspera; vacinas também estão no radar
The post Ibovespa Futuro sobe após confirmação de Biden como presidente dos EUA no Congresso; dólar avança a R$ 5,34 appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-futuro-sobe-apos-confirmacao-de-biden-como-presidente-dos-eua-no-congresso-dolar-avanca-a-r-534/,InfoMoney,,business,pt,br,2021-01-07T12:16:02+00:00
Ricardo Bonfim,"Ibovespa opera entre perdas e ganhos com exterior positivo ofuscado por decisão do STF sobre Lula; dólar sobe a R$ 5,84","Mercado mostra desempenho errático na esteira de um dia muito negativo; ainda no radar dos investidores, discussão sobre PEC Emergencial tem indefiniçõesThe post Ibovespa opera entre perdas e ganhos com exterior positivo ofuscado por decisão do STF sobre Lula; dólar sobe a R$ 5,84 appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-opera-entre-perdas-e-ganhos-com-exterior-positivo-ofuscado-por-decisao-do-stf-sobre-lula-dolar-sobe-a-r-584/,InfoMoney,,business,pt,br,2021-03-09T13:18:33+00:00
Ricardo Bonfim,"Ibovespa sobe antes de votação em 2º turno da PEC Emergencial e após estímulos nos EUA; dólar cai a R$ 5,60","Mercado registra ganhos com expectativa por medida fiscal enquanto ganha força do exteriorThe post Ibovespa sobe antes de votação em 2º turno da PEC Emergencial e após estímulos nos EUA; dólar cai a R$ 5,60 appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-sobe-antes-de-votacao-em-2o-turno-da-pec-emergencial-e-apos-estimulos-nos-eua-dolar-cai-a-r-560/,InfoMoney,,business,pt,br,2021-03-11T13:15:26+00:00
Ricardo Bonfim,"Ibovespa fecha em queda e acumula perdas de 0,9% em semana marcada pela política; dólar sobe a R$ 5,56","Mercado encerra semana com perdas diante da maior polarização e incerteza políticaThe post Ibovespa fecha em queda e acumula perdas de 0,9% em semana marcada pela política; dólar sobe a R$ 5,56 appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-fecha-em-queda-e-acumula-perdas-de-09-em-semana-marcada-pela-politica-dolar-sobe-a-r-556/,InfoMoney,,business,pt,br,2021-03-12T21:33:47+00:00
Ricardo Bonfim,"Ibovespa tem leve alta após aprovação da PEC Emergencial em primeiro turno; dólar cai a R$ 5,77","Mercado registra desempenho positivo diante do alívio nas preocupações com o ajuste fiscalThe post Ibovespa tem leve alta após aprovação da PEC Emergencial em primeiro turno; dólar cai a R$ 5,77 appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-tem-leve-alta-apos-aprovacao-da-pec-emergencial-em-primeiro-turno-dolar-cai-a-r-577/,InfoMoney,,business,pt,br,2021-03-10T13:17:53+00:00
Ricardo Bonfim,"Ibovespa fecha em leve alta puxado por Petrobras e se aproxima dos 112 mil pontos; dólar sobe a R$ 5,24","Mercado estende os ganhos do dia anterior impulsionado mais uma vez por commodities e bancos
The post Ibovespa fecha em leve alta puxado por Petrobras e se aproxima dos 112 mil pontos; dólar sobe a R$ 5,24 appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-fecha-em-leve-alta-puxado-por-petrobras-e-se-aproxima-dos-112-mil-pontos-dolar-sobe-a-r-524/,InfoMoney,,business,pt,br,2020-12-02T21:17:33+00:00
Ricardo Bonfim,"Ibovespa cai em meio a preocupações com nova cepa do coronavírus, que ofuscam estímulo nos EUA; dólar sobe a R$ 5,18","Mercado registra perdas diante de novo foco de incerteza sanitária, que ofusca acordo para estímulo nos EUA
The post Ibovespa cai em meio a preocupações com nova cepa do coronavírus, que ofuscam estímulo nos EUA; dólar sobe a R$ 5,18 appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-cai-em-meio-a-preocupacoes-com-nova-cepa-do-coronavirus-que-ofuscam-estimulo-nos-eua-dolar-sobe-a-r-518/,InfoMoney,,business,pt,br,2020-12-21T13:18:03+00:00
rodrigoumpieres,"Ibovespa Futuro tem leve alta seguindo exterior, apesar de tensão com coronavírus e fala de Trump; dólar recua","Índice avança, apesar de não mostrar muita força em dia de noticiário tenso na Europa e EUA e preparação para feriado de Natal
The post Ibovespa Futuro tem leve alta seguindo exterior, apesar de tensão com coronavírus e fala de Trump; dólar recua appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-futuro-tem-leve-alta-seguindo-exterior-apesar-de-tensao-com-coronavirus-e-fala-de-trump-dolar-recua/,InfoMoney,,business,pt,br,2020-12-23T12:09:35+00:00
Ricardo Bonfim,"Ibovespa tem alta após aprovação de vacina na Comissão Europeia e de estímulos nos EUA; dólar sobe a R$ 5,14","Mercado registra ganhos após a forte queda do pregão anterior, quando pesou a disseminação de uma nova cepa da Covid-19
The post Ibovespa tem alta após aprovação de vacina na Comissão Europeia e de estímulos nos EUA; dólar sobe a R$ 5,14 appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-tem-alta-apos-aprovacao-de-vacina-na-comissao-europeia-e-de-estimulos-nos-eua-dolar-sobe-a-r-514/,InfoMoney,,business,pt,br,2020-12-22T13:18:03+00:00
